"","kunta.agg","kuntanimi","puoluetunn.agg","N.yht","N.kunta","aan.rel"
"107",202,"Kaarina",13,5706,31260,0.18253358925144
"108",284,"Koski Tl",13,200,2460,0.0813008130081301
"109",322,"Kemiönsaari",13,442,7828,0.0564639754726622
"110",400,"Laitila",13,246,8034,0.0306198655713219
"111",423,"Lieto",13,2310,17994,0.128376125375125
"112",430,"Loimaa",13,586,15588,0.0375930202720041
"113",445,"Parainen",13,1810,15670,0.115507338864071
"114",481,"Masku",13,1090,8954,0.121733303551485
"115",529,"Naantali",13,2356,20026,0.117647058823529
"116",577,"Paimio",13,816,10220,0.0798434442270059
"117",636,"Pöytyä",13,350,7978,0.0438706442717473
"118",680,"Raisio",13,2234,21632,0.103272928994083
"119",704,"Rusko",13,858,6002,0.142952349216928
"120",734,"Salo",13,4650,49804,0.093365994699221
"121",738,"Sauvo",13,266,3224,0.0825062034739454
"122",761,"Somero",13,400,8902,0.0449337227589306
"123",853,"Turku",13,36344,185782,0.195627132876167
"124",895,"Uusikaupunki",13,314,14870,0.0211163416274378
